t,cpu,mem
2,0.09%;241.5MiB / 1GiB
4,0.24%;241.7MiB / 1GiB
6,0.10%;241.5MiB / 1GiB
9,0.16%;241.5MiB / 1GiB
12,0.09%;241.5MiB / 1GiB
14,0.36%;241.5MiB / 1GiB
16,8.48%;333MiB / 1GiB
19,60.12%;372.8MiB / 1GiB
22,66.53%;376.5MiB / 1GiB
24,21.13%;376.4MiB / 1GiB
26,5.84%;376.8MiB / 1GiB
29,33.19%;383.1MiB / 1GiB
32,30.85%;383.1MiB / 1GiB
34,16.94%;383.1MiB / 1GiB
36,6.33%;383.7MiB / 1GiB
39,32.13%;384MiB / 1GiB
42,16.76%;383.9MiB / 1GiB
44,21.68%;383.8MiB / 1GiB
46,3.18%;384.4MiB / 1GiB
49,25.67%;384.5MiB / 1GiB
52,22.46%;384.7MiB / 1GiB
54,15.64%;384.4MiB / 1GiB
56,4.70%;384.9MiB / 1GiB
59,48.76%;385.5MiB / 1GiB
62,18.00%;385.6MiB / 1GiB
64,0.18%;385.1MiB / 1GiB
66,0.09%;385.1MiB / 1GiB
69,0.10%;385MiB / 1GiB
72,0.11%;385.1MiB / 1GiB
74,0.15%;385MiB / 1GiB
76,10.37%;475.6MiB / 1GiB
79,31.74%;514.5MiB / 1GiB
82,41.52%;527.1MiB / 1GiB
84,31.03%;541MiB / 1GiB
86,9.92%;561MiB / 1GiB
89,21.48%;591.9MiB / 1GiB
92,11.47%;592.1MiB / 1GiB
94,7.29%;591.7MiB / 1GiB
96,1.24%;591.8MiB / 1GiB
99,12.62%;596.2MiB / 1GiB
102,12.10%;595.7MiB / 1GiB
104,4.64%;595.5MiB / 1GiB
106,1.81%;595.8MiB / 1GiB
109,14.22%;595.5MiB / 1GiB
112,12.41%;595.6MiB / 1GiB
114,5.60%;595.5MiB / 1GiB
116,1.28%;595.5MiB / 1GiB
119,11.41%;595.6MiB / 1GiB
122,13.26%;596.2MiB / 1GiB
124,0.16%;595.3MiB / 1GiB
126,0.10%;595.3MiB / 1GiB
129,0.23%;595.3MiB / 1GiB
132,0.14%;595.3MiB / 1GiB
134,0.18%;595.4MiB / 1GiB
136,19.22%;739MiB / 1GiB
139,56.90%;806.1MiB / 1GiB
142,62.99%;843.2MiB / 1GiB
144,29.98%;843.7MiB / 1GiB
146,3.72%;845.6MiB / 1GiB
149,27.47%;853MiB / 1GiB
152,28.53%;853.2MiB / 1GiB
154,41.18%;852.6MiB / 1GiB
156,3.68%;853.2MiB / 1GiB
159,22.88%;853.4MiB / 1GiB
162,25.37%;853.5MiB / 1GiB
164,39.57%;862.8MiB / 1GiB
166,4.18%;863.5MiB / 1GiB
169,25.13%;868.9MiB / 1GiB
171,25.82%;868.8MiB / 1GiB
174,38.86%;868.1MiB / 1GiB
176,3.75%;868.3MiB / 1GiB
179,24.56%;873.8MiB / 1GiB
181,23.56%;875.7MiB / 1GiB
184,0.21%;875MiB / 1GiB
186,0.10%;875MiB / 1GiB
189,0.32%;875MiB / 1GiB
191,0.16%;875.2MiB / 1GiB
194,0.27%;875.2MiB / 1GiB
196,25.78%;960.5MiB / 1GiB
199,60.13%;965.9MiB / 1GiB
201,53.22%;966.5MiB / 1GiB
204,48.97%;965.7MiB / 1GiB
206,10.18%;966MiB / 1GiB
209,37.61%;966.5MiB / 1GiB
